,Time,Conc_mean_cEC(.-),Conc_sdf_cEC(.-),Conc_mean_oEC(.-),Conc_sdf_oEC(.-),Conc_mean_CO3(2-),Conc_sdf_CO3(2-),Conc_mean_EDC(2-),Conc_sdf_EDC(2-),Conc_mean_ethene,Conc_sdf_ethene
47,0.3752075978530141,0.17925764926000198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.3831907382328654,0.18299218361958539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.3911738786127168,0.18672671797916873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.39915701899256817,0.1904612523387521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.40714015937241954,0.19419578669833548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.4151232997522709,0.19793032105791886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.4231064401321223,0.20166485541750226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.43108958051197366,0.2053993897770856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.439072720891825,0.20913392413666898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.44705586127167635,0.21286845849625238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.4550390016515277,0.21660299285583573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.4630221420313791,0.219839589300808,0.0007041905520628172,0.0002489689573055583,0.00035209527603140864,0.0,0.0,0.0,0.0,0.0,0.0
59,0.47100528241123046,0.22307618574578025,0.0014083811041256343,0.0004979379146111166,0.0007041905520628173,0.0,0.0,0.0,0.0,0.0,0.0
60,0.47898842279108184,0.22631278219075252,0.0021125716561884514,0.0007469068719166749,0.001056285828094226,0.0,0.0,0.0,0.0,0.0,0.0
61,0.48697156317093315,0.2295493786357248,0.0028167622082512687,0.0009958758292222332,0.0014083811041256345,0.0,0.0,0.0,0.0,0.0,0.0
62,0.4949547035507845,0.23278597508069704,0.003520952760314086,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
63,0.5029378439306359,0.2365205094402804,0.003520952760314086,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
64,0.5109209843104873,0.2402550437998638,0.0035209527603140885,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
65,0.5189041246903386,0.24398957815944716,0.003520952760314091,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
66,0.52688726507019,0.24772411251903054,0.003520952760314091,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
67,0.5348704054500414,0.2514586468786139,0.003520952760314091,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
68,0.5428535458298928,0.25519318123819734,0.003520952760314091,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
69,0.5508366862097441,0.2589277155977807,0.0035209527603140885,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
70,0.5588198265895955,0.262164312042753,0.003520952760314086,0.0014938137438333498,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
71,0.5668029669694468,0.26540090848772524,0.003520952760314086,0.0017427827011389082,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
72,0.5747861073492981,0.2686375049326975,0.003520952760314086,0.0019917516584444664,0.0017604763801570432,0.0,0.0,0.0,0.0,0.0,0.0
73,0.5827692477291495,0.27187410137766976,0.003520952760314086,0.0022407206157500246,0.001760476380157043,0.0,0.0,0.0,0.0,0.0,0.0
74,0.5907523881090009,0.27486172886533644,0.0037483187464310164,0.0022407206157500246,0.001760476380157043,0.0002489689573055583,0.00035209527603140864,0.0,0.0,0.0002489689573055583,0.00035209527603140864
75,0.5987355284888523,0.2783472942676143,0.003975684732547948,0.0019917516584444664,0.0017604763801570432,0.0004979379146111166,0.0007041905520628173,0.0,0.0,0.0004979379146111166,0.0007041905520628173
76,0.6067186688687036,0.2818328596698921,0.004203050718664878,0.0017427827011389082,0.0017604763801570432,0.0007469068719166749,0.001056285828094226,0.0,0.0,0.0007469068719166749,0.001056285828094226
77,0.614701809248555,0.2853184250721699,0.00443041670478181,0.0014938137438333498,0.0017604763801570432,0.0009958758292222332,0.0014083811041256345,0.0,0.0,0.0009958758292222332,0.0014083811041256345
78,0.6226849496284064,0.28880399047444766,0.00465778269089874,0.0012448447865277914,0.0017604763801570432,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0012448447865277914,0.0017604763801570432
79,0.6306680900082577,0.2925385248340311,0.00465778269089874,0.0012448447865277914,0.0017604763801570432,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0012448447865277914,0.0017604763801570432
80,0.6386512303881091,0.29627305919361446,0.00465778269089874,0.0012448447865277914,0.0017604763801570432,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0012448447865277914,0.0017604763801570432
81,0.6466343707679605,0.30000759355319784,0.00465778269089874,0.0012448447865277914,0.0017604763801570432,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0012448447865277914,0.0017604763801570432
82,0.6546175111478119,0.30324418999817004,0.005260973879437961,0.0014938137438333498,0.0017604763801570432,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0012448447865277914,0.0017604763801570432
83,0.6626006515276632,0.30648078644314236,0.005864165067977182,0.0017427827011389082,0.0017604763801570432,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0012448447865277914,0.0017604763801570432
84,0.6705837919075145,0.3097173828881146,0.006467356256516402,0.0019917516584444664,0.0017604763801570432,0.0012448447865277914,0.0017604763801570432,0.0,0.0,0.0012448447865277914,0.0017604763801570432
